id,code,description,total_emp,salary
434111,43-4111,"Interviewers, except eligibility and loan",227220,28190
434121,43-4121,"Library assistants, clerical",112300,23750
434131,43-4131,Loan interviewers and clerks,239810,33220
434141,43-4141,New accounts clerks,88880,30450
434151,43-4151,Order clerks,255670,28510
434161,43-4161,"Human resources assistants, except payroll and timekeeping",161970,36000
434171,43-4171,Receptionists and information clerks,1100790,24580
434181,43-4181,Reservation and transportation ticket agents and travel clerks,167390,31080
434199,43-4199,All other information and record clerks,233180,33580
435011,43-5011,Cargo and freight agents,81380,38760
435021,43-5021,Couriers and messengers,100820,24000
435031,43-5031,"Police, fire, and ambulance dispatchers",93670,34060
435032,43-5032,"Dispatchers, except police, fire, and ambulance",190190,35500
435041,43-5041,"Meter readers, utilities",46220,33520
435051,43-5051,Postal service clerks,79500,44290
435052,43-5052,Postal service mail carriers,348070,44030
435053,43-5053,"Postal service mail sorters, processors, and processing machine operators",201430,40890
435061,43-5061,"Production, planning, and expediting clerks",283930,41050
435071,43-5071,"Shipping, receiving, and traffic clerks",755790,28410
435081,43-5081,Stock clerks and order fillers,1817650,22720
435111,43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",76000,27810
436011,43-6011,Executive secretaries and administrative assistants,1517410,40700
436012,43-6012,Legal secretaries,266180,40550
436013,43-6013,Medical secretaries,424670,30050
436014,43-6014,"Secretaries, except legal, medical, and executive",1832490,29190
439011,43-9011,Computer operators,117380,36080
439021,43-9021,Data entry keyers,286540,26350
439022,43-9022,Word processors and typists,139420,31580
439031,43-9031,Desktop publishers,29320,37470
439041,43-9041,Insurance claims and policy processing clerks,232700,33780
439051,43-9051,"Mail clerks and mail machine operators, except postal service",138990,25630
439061,43-9061,"Office clerks, general",2980350,25960
439071,43-9071,"Office machine operators, except computer",87240,26730
439081,43-9081,Proofreaders and copy markers,15650,30930
439111,43-9111,Statistical assistants,19210,34220
439199,43-9199,"Office and administrative support workers, all other",266220,30680
450000,45-0000,"Farming, fishing, and forestry occupations",448000,22640
451011,45-1011,"First-line supervisors/managers of farming, fishing, and forestry workers",20860,41080
451012,45-1012,Farm labor contractors,1450,33180
452011,45-2011,Agricultural inspectors,14510,39830
452021,45-2021,Animal breeders,2320,32370
452041,45-2041,"Graders and sorters, agricultural products",40770,19590
452091,45-2091,Agricultural equipment operators,22490,23140
452092,45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",239380,18350
452093,45-2093,"Farmworkers, farm and ranch animals",43120,21860
452099,45-2099,"Agricultural workers, all other",7960,27370
